Index,price,beg_city,beg_state,beg_lat,beg_long,end_city,end_state,end_lat,end_long,dist_meters,dist_km,price_per_km,group,path_order,price_dff,rank
86,1142,San Jose,California,37.29133,-121.818,Phoenix,Arizona,33.57,-112.08733,974324.5965,974.3245965,1.172093986,43,2,1.04072093,1
5,218,New York,New York,40.65817,-73.9365,Philadelphia,Pennsylvania,40.00567,-75.13333,124861.7194,124.8617194,1.745931428,3,1,0.872965714,2
26,1423,Chicago,Illinois,41.83583,-87.67567,Dallas,Texas,32.78933,-96.75983,1287180.886,1287.180886,1.105516727,13,1,0.796313876,3
22,2247,Chicago,Illinois,41.83583,-87.67567,Phoenix,Arizona,33.57,-112.08733,2328217.696,2328.217696,0.965115936,11,1,0.614203733,4
24,1639,Chicago,Illinois,41.83583,-87.67567,San Antonio,Texas,29.47017,-98.52167,1687256.906,1687.256906,0.971399195,12,1,0.563636751,5
3,1950,New York,New York,40.65817,-73.9365,Houston,Texas,29.78533,-95.38783,2286266.209,2286.266209,0.852919049,2,1,0.562926572,6
21,1496,Chicago,Illinois,41.83583,-87.67567,Houston,Texas,29.78533,-95.38783,1509761.632,1509.761632,0.990884898,11,1,0.535183822,7
6,2095,New York,New York,40.65817,-73.9365,San Antonio,Texas,29.47017,-98.52167,2550263.941,2550.263941,0.821483599,3,1,0.525827926,8
8,1881,New York,New York,40.65817,-73.9365,Dallas,Texas,32.78933,-96.75983,2208420.432,2208.420432,0.851739991,4,1,0.510772307,9
13,388,Los Angeles,California,34.01833,-118.4065,Phoenix,Arizona,33.57,-112.08733,586624.8149,586.6248149,0.66141082,7,1,0.501172116,10
68,315,San Diego,California,32.80917,-117.13433,Phoenix,Arizona,33.57,-112.08733,477689.5587,477.6895587,0.659424085,34,2,0.462643564,11
16,172,Los Angeles,California,34.01833,-118.4065,San Diego,California,32.80917,-117.13433,179137.5726,179.1375726,0.960155915,8,1,0.45774875,12
85,2145,San Jose,California,37.29133,-121.818,Houston,Texas,29.78533,-95.38783,2580559.981,2580.559981,0.831214936,43,2,0.448739812,13
90,1997,San Jose,California,37.29133,-121.818,Dallas,Texas,32.78933,-96.75983,2330847.53,2330.84753,0.856769898,45,2,0.445331574,14
89,512,San Jose,California,37.29133,-121.818,San Diego,California,32.80917,-117.13433,656409.31,656.40931,0.780001125,45,2,0.441797512,15
12,1695,Los Angeles,California,34.01833,-118.4065,Houston,Texas,29.78533,-95.38783,2220746.862,2220.746862,0.763256736,6,1,0.413374444,16
83,414,San Jose,California,37.29133,-121.818,Los Angeles,California,34.01833,-118.4065,477382.547,477.382547,0.867229023,42,2,0.404287926,17
88,2002,San Jose,California,37.29133,-121.818,San Antonio,Texas,29.47017,-98.52167,2326141.779,2326.141779,0.860652613,44,2,0.379168634,18
17,1620,Los Angeles,California,34.01833,-118.4065,Dallas,Texas,32.78933,-96.75983,2012546.932,2012.546932,0.804950172,9,1,0.375643414,19
53,1452,Philadelphia,Pennsylvania,40.00567,-75.13333,Dallas,Texas,32.78933,-96.75983,2090815.167,2090.815167,0.694465978,27,1,0.347232989,20
31,1035,Houston,Texas,29.78533,-95.38783,Phoenix,Arizona,33.57,-112.08733,1635061.71,1635.06171,0.633003631,16,1,0.345552707,21
49,1502,Philadelphia,Pennsylvania,40.00567,-75.13333,Houston,Texas,29.78533,-95.38783,2163392.669,2163.392669,0.694279879,25,2,0.329574936,22
51,1630,Philadelphia,Pennsylvania,40.00567,-75.13333,San Antonio,Texas,29.47017,-98.52167,2429121.505,2429.121505,0.671024482,26,1,0.318633711,23
70,1490,San Diego,California,32.80917,-117.13433,San Antonio,Texas,29.47017,-98.52167,1809364.626,1809.364626,0.823493495,35,2,0.311158952,24
15,1545,Los Angeles,California,34.01833,-118.4065,San Antonio,Texas,29.47017,-98.52167,1945753.312,1945.753312,0.794036937,8,1,0.299626883,25
59,788,San Antonio,Texas,29.47017,-98.52167,Phoenix,Arizona,33.57,-112.08733,1364492.878,1364.492878,0.57750393,30,2,0.268231521,26
67,1302,San Diego,California,32.80917,-117.13433,Houston,Texas,29.78533,-95.38783,2091909.459,2091.909459,0.622397874,34,2,0.264351785,27
4,2211,New York,New York,40.65817,-73.9365,Phoenix,Arizona,33.57,-112.08733,3448806.585,3448.806585,0.64109133,2,1,0.262119657,28
33,220,Houston,Texas,29.78533,-95.38783,San Antonio,Texas,29.47017,-98.52167,305259.0913,305.2590913,0.720699256,17,1,0.25224474,29
2,930,New York,New York,40.65817,-73.9365,Chicago,Illinois,41.83583,-87.67567,1156133.289,1156.133289,0.80440552,1,1,0.208453473,30
71,1205,San Diego,California,32.80917,-117.13433,Dallas,Texas,32.78933,-96.75983,1903516.058,1903.516058,0.633039052,36,1,0.198579885,31
84,2059,San Jose,California,37.29133,-121.818,Chicago,Illinois,41.83583,-87.67567,2953394.594,2953.394594,0.697163868,42,2,0.174375615,32
77,768,Dallas,Texas,32.78933,-96.75983,Phoenix,Arizona,33.57,-112.08733,1429397.708,1429.397708,0.537289234,39,2,0.144816239,33
87,2535,San Jose,California,37.29133,-121.818,Philadelphia,Pennsylvania,40.00567,-75.13333,4023519.743,4023.519743,0.630045374,44,2,0.143406777,34
11,1867,Los Angeles,California,34.01833,-118.4065,Chicago,Illinois,41.83583,-87.67567,2817785.254,2817.785254,0.662577106,6,1,0.139826127,35
66,1840,San Diego,California,32.80917,-117.13433,Chicago,Illinois,41.83583,-87.67567,2777763.685,2777.763685,0.662403361,33,2,0.121320616,36
50,1676,Philadelphia,Pennsylvania,40.00567,-75.13333,Phoenix,Arizona,33.57,-112.08733,3346395.765,3346.395765,0.500837354,25,2,0.117738614,37
69,2275,San Diego,California,32.80917,-117.13433,Philadelphia,Pennsylvania,40.00567,-75.13333,3810834.57,3810.83457,0.596982094,35,2,0.111261718,38
14,2284,Los Angeles,California,34.01833,-118.4065,Philadelphia,Pennsylvania,40.00567,-75.13333,3865357.269,3865.357269,0.590889752,7,1,0.110727152,39
48,766,Philadelphia,Pennsylvania,40.00567,-75.13333,Chicago,Illinois,41.83583,-87.67567,1073455.221,1073.455221,0.713583562,24,2,0.088499267,40
7,2437,New York,New York,40.65817,-73.9365,San Diego,California,32.80917,-117.13433,3910756.575,3910.756575,0.623153079,4,1,0.03119601,41
1,2454,New York,New York,40.65817,-73.9365,Los Angeles,California,34.01833,-118.4065,3961659.094,3961.659094,0.619437448,1,1,0.031047598,42
76,185,Dallas,Texas,32.78933,-96.75983,Houston,Texas,29.78533,-95.38783,358960.6073,358.9606073,0.515376886,38,2,0.025072389,43
62,280,San Antonio,Texas,29.47017,-98.52167,Dallas,Texas,32.78933,-96.75983,405818.8274,405.8188274,0.68996306,31,1,0,44
79,280,Dallas,Texas,32.78933,-96.75983,San Antonio,Texas,29.47017,-98.52167,405818.8274,405.8188274,0.68996306,40,2,0,45
9,2577,New York,New York,40.65817,-73.9365,San Jose,California,37.29133,-121.818,4109510.744,4109.510744,0.627081947,5,1,0,46
82,2577,San Jose,California,37.29133,-121.818,New York,New York,40.65817,-73.9365,4109510.744,4109.510744,0.627081947,41,2,0,47
35,176,Houston,Texas,29.78533,-95.38783,Dallas,Texas,32.78933,-96.75983,358960.6073,358.9606073,0.490304497,18,1,-0.025072389,48
10,2331,Los Angeles,California,34.01833,-118.4065,New York,New York,40.65817,-73.9365,3961659.094,3961.659094,0.58838985,5,2,-0.031047598,49
64,2315,San Diego,California,32.80917,-117.13433,New York,New York,40.65817,-73.9365,3910756.575,3910.756575,0.591957069,32,2,-0.03119601,50
23,671,Chicago,Illinois,41.83583,-87.67567,Philadelphia,Pennsylvania,40.00567,-75.13333,1073455.221,1073.455221,0.625084295,12,1,-0.088499267,51
47,1856,Philadelphia,Pennsylvania,40.00567,-75.13333,Los Angeles,California,34.01833,-118.4065,3865357.269,3865.357269,0.480162601,24,2,-0.110727152,52
52,1851,Philadelphia,Pennsylvania,40.00567,-75.13333,San Diego,California,32.80917,-117.13433,3810834.57,3810.83457,0.485720376,26,1,-0.111261718,53
41,1282,Phoenix,Arizona,33.57,-112.08733,Philadelphia,Pennsylvania,40.00567,-75.13333,3346395.765,3346.395765,0.38309874,21,1,-0.117738614,54
25,1503,Chicago,Illinois,41.83583,-87.67567,San Diego,California,32.80917,-117.13433,2777763.685,2777.763685,0.541082745,13,1,-0.121320616,55
20,1473,Chicago,Illinois,41.83583,-87.67567,Los Angeles,California,34.01833,-118.4065,2817785.254,2817.785254,0.522750979,10,2,-0.139826127,56
54,1958,Philadelphia,Pennsylvania,40.00567,-75.13333,San Jose,California,37.29133,-121.818,4023519.743,4023.519743,0.486638596,27,1,-0.143406777,57
44,561,Phoenix,Arizona,33.57,-112.08733,Dallas,Texas,32.78933,-96.75983,1429397.708,1429.397708,0.392472995,22,1,-0.144816239,58
27,1544,Chicago,Illinois,41.83583,-87.67567,San Jose,California,37.29133,-121.818,2953394.594,2953.394594,0.522788253,14,1,-0.174375615,59
80,827,Dallas,Texas,32.78933,-96.75983,San Diego,California,32.80917,-117.13433,1903516.058,1903.516058,0.434459167,40,2,-0.198579885,60
19,689,Chicago,Illinois,41.83583,-87.67567,New York,New York,40.65817,-73.9365,1156133.289,1156.133289,0.595952047,10,2,-0.208453473,61
58,143,San Antonio,Texas,29.47017,-98.52167,Houston,Texas,29.78533,-95.38783,305259.0913,305.2590913,0.468454516,29,2,-0.25224474,62
37,1307,Phoenix,Arizona,33.57,-112.08733,New York,New York,40.65817,-73.9365,3448806.585,3448.806585,0.378971673,19,2,-0.262119657,63
34,749,Houston,Texas,29.78533,-95.38783,San Diego,California,32.80917,-117.13433,2091909.459,2091.909459,0.358046089,17,1,-0.264351785,64
42,422,Phoenix,Arizona,33.57,-112.08733,San Antonio,Texas,29.47017,-98.52167,1364492.878,1364.492878,0.309272409,21,1,-0.268231521,65
56,962,San Antonio,Texas,29.47017,-98.52167,Los Angeles,California,34.01833,-118.4065,1945753.312,1945.753312,0.494410054,28,2,-0.299626883,66
61,927,San Antonio,Texas,29.47017,-98.52167,San Diego,California,32.80917,-117.13433,1809364.626,1809.364626,0.512334544,31,1,-0.311158952,67
60,856,San Antonio,Texas,29.47017,-98.52167,Philadelphia,Pennsylvania,40.00567,-75.13333,2429121.505,2429.121505,0.352390771,30,2,-0.318633711,68
32,789,Houston,Texas,29.78533,-95.38783,Philadelphia,Pennsylvania,40.00567,-75.13333,2163392.669,2163.392669,0.364704943,16,1,-0.329574936,69
40,470,Phoenix,Arizona,33.57,-112.08733,Houston,Texas,29.78533,-95.38783,1635061.71,1635.06171,0.287450924,20,2,-0.345552707,70
78,726,Dallas,Texas,32.78933,-96.75983,Philadelphia,Pennsylvania,40.00567,-75.13333,2090815.167,2090.815167,0.347232989,39,2,-0.347232989,71
74,864,Dallas,Texas,32.78933,-96.75983,Los Angeles,California,34.01833,-118.4065,2012546.932,2012.546932,0.429306759,37,2,-0.375643414,72
63,1120,San Antonio,Texas,29.47017,-98.52167,San Jose,California,37.29133,-121.818,2326141.779,2326.141779,0.481483979,32,1,-0.379168634,73
18,221,Los Angeles,California,34.01833,-118.4065,San Jose,California,37.29133,-121.818,477382.547,477.382547,0.462941097,9,1,-0.404287926,74
29,777,Houston,Texas,29.78533,-95.38783,Los Angeles,California,34.01833,-118.4065,2220746.862,2220.746862,0.349882291,15,2,-0.413374444,75
72,222,San Diego,California,32.80917,-117.13433,San Jose,California,37.29133,-121.818,656409.31,656.40931,0.338203613,36,1,-0.441797512,76
81,959,Dallas,Texas,32.78933,-96.75983,San Jose,California,37.29133,-121.818,2330847.53,2330.84753,0.411438323,41,1,-0.445331574,77
36,987,Houston,Texas,29.78533,-95.38783,San Jose,California,37.29133,-121.818,2580559.981,2580.559981,0.382475124,18,1,-0.448739812,78
65,90,San Diego,California,32.80917,-117.13433,Los Angeles,California,34.01833,-118.4065,179137.5726,179.1375726,0.502407165,33,2,-0.45774875,79
43,94,Phoenix,Arizona,33.57,-112.08733,San Diego,California,32.80917,-117.13433,477689.5587,477.6895587,0.196780521,22,1,-0.462643564,80
38,94,Phoenix,Arizona,33.57,-112.08733,Los Angeles,California,34.01833,-118.4065,586624.8149,586.6248149,0.160238704,19,2,-0.501172116,81
73,753,Dallas,Texas,32.78933,-96.75983,New York,New York,40.65817,-73.9365,2208420.432,2208.420432,0.340967684,37,2,-0.510772307,82
55,754,San Antonio,Texas,29.47017,-98.52167,New York,New York,40.65817,-73.9365,2550263.941,2550.263941,0.295655672,28,2,-0.525827926,83
30,688,Houston,Texas,29.78533,-95.38783,Chicago,Illinois,41.83583,-87.67567,1509761.632,1509.761632,0.455701076,15,2,-0.535183822,84
28,663,Houston,Texas,29.78533,-95.38783,New York,New York,40.65817,-73.9365,2286266.209,2286.266209,0.289992476,14,2,-0.562926572,85
57,688,San Antonio,Texas,29.47017,-98.52167,Chicago,Illinois,41.83583,-87.67567,1687256.906,1687.256906,0.407762444,29,2,-0.563636751,86
39,817,Phoenix,Arizona,33.57,-112.08733,Chicago,Illinois,41.83583,-87.67567,2328217.696,2328.217696,0.350912203,20,2,-0.614203733,87
75,398,Dallas,Texas,32.78933,-96.75983,Chicago,Illinois,41.83583,-87.67567,1287180.886,1287.180886,0.309202851,38,2,-0.796313876,88
46,109,Philadelphia,Pennsylvania,40.00567,-75.13333,New York,New York,40.65817,-73.9365,124861.7194,124.8617194,0.872965714,23,2,-0.872965714,89
45,128,Phoenix,Arizona,33.57,-112.08733,San Jose,California,37.29133,-121.818,974324.5965,974.3245965,0.131373056,23,1,-1.04072093,90
